Date,Close/Last,Volume,Open,High,Low
12/08/2023,91.8975,N/A,92.10,92.4347,90.9205
12/07/2023,92.3355,N/A,92.10,92.4347,92.10
12/06/2023,93.4484,N/A,92.82,93.5296,92.7957
12/05/2023,91.7305,N/A,90.9275,91.749,90.9275
12/04/2023,91.465,N/A,90.9275,91.5135,90.9275
12/03/2023,90.51,N/A,90.4075,90.6284,90.4075
12/01/2023,90.4075,N/A,89.4525,90.455,89.15
11/30/2023,89.181,N/A,89.4525,89.4525,89.1775
11/29/2023,88.6381,N/A,88.55,88.65,88.5414
11/28/2023,89.03,N/A,89.44,89.44,88.9973
11/27/2023,88.7387,N/A,88.805,88.8075,88.7052
11/26/2023,88.9553,N/A,88.60,89.0231,88.60
11/24/2023,88.60,N/A,88.40,89.3049,88.3163
11/23/2023,88.58,N/A,88.40,88.82,88.38
11/22/2023,88.2441,N/A,88.35,88.35,88.1444
11/21/2023,87.925,N/A,87.8675,87.9425,87.8675
11/20/2023,88.0675,N/A,88.40,88.40,87.9822
11/19/2023,89.8033,N/A,90.00,90.00,89.675
11/17/2023,90.00,N/A,89.15,90.3849,88.9623
11/16/2023,89.0875,N/A,89.15,89.3075,89.06
11/15/2023,89.37,N/A,89.4575,89.5825,89.325
11/14/2023,90.2775,N/A,90.60,90.60,90.2075
11/13/2023,91.90,N/A,91.62,91.90,91.62
11/12/2023,92.4253,N/A,92.2925,92.4731,92.2775
11/10/2023,92.2925,N/A,92.0375,92.3232,91.9299
11/09/2023,92.1075,N/A,92.0375,92.195,92.0375
